Name,Artist,Album,Genre,Length,Path,UID
Mother And Child Reunion,Paul Simon,Negotiations And Love Songs 1971-1986,Rock,2:49,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Paul Simon\Negotiations And Love Songs 1971-1986\01 Mother And Child Reunion.mp3,0
More Than This,Peter Gabriel,Up (PG),Rock,6:2,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Peter Gabriel\Up (PG)\08 More Than This.mp3,0
One Of These Days,Pink Floyd,A Collection Of Great Dance Songs,Rock,5:49,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Pink Floyd\A Collection Of Great Dance Songs\01 One Of These Days.mp3,0
Hard to Concentrate,Red Hot Chili Peppers,Stadium Arcadium,Rock,4:2,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Red Hot Chili Peppers\Stadium Arcadium\03 Hard to Concentrate.mp3,0
People Like You Are The Reason People Like Me Exist,Say Anything,In Defense Of The Genre,Other,3:28,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Say Anything\In Defense Of The Genre\1-10 People Like You Are The Reason.mp3,0
The Field Behind The Plow,Stan Rogers,Northwest Passage,Folk,4:31,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Stan Rogers\Northwest Passage\02 The Field Behind The Plow.mp3,0
To Be Alone With You,Sufjan Stevens,Seven Swans,Alternative Folk,2:48,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Sufjan Stevens\Seven Swans\04 To Be Alone With You.mp3,0
Size Too Small,Sufjan Stevens,Seven Swans,Alternative Folk,3:4,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Sufjan Stevens\Seven Swans\07 Size Too Small.mp3,1
That Was The Worst Christmas E,Sufjan Stevens,Songs For Christmas,Unknown,3:18,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Sufjan Stevens\Songs For Christmas\21 That Was The Worst Christmas E.mp3,0
Did I Make You Cry On Christma,Sufjan Stevens,Songs For Christmas,Unknown,3:21,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Sufjan Stevens\Songs For Christmas\4-29 Did I Make You Cry On Christma.mp3,1
Motivation (EP Version),Sum 41,Motivation EP,Alternative & Punk,2:51,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\Sum 41\Motivation EP\01 Motivation (EP Version).mp3,0
Fake Empire,The National,Boxer,Rock,3:27,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\The National\Boxer\01 Fake Empire.mp3,0
Lucky You,The National,Sad Songs for Dirty Lovers,Rock,4:22,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\The National\Sad Songs for Dirty Lovers\12 Lucky You.mp3,0
Juicebox,The Strokes,First Impressions Of Earth,Alternative,3:17,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\The Strokes\First Impressions Of Earth\02 Juicebox.mp3,0
Heart In A Cage,The Strokes,First Impressions Of Earth,Alternative,3:27,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\The Strokes\First Impressions Of Earth\03 Heart In A Cage.mp3,1
Razorblade,The Strokes,First Impressions Of Earth,Alternative,3:29,C:\Users\Devon Welch\Music\iTunes\iTunes Media\Music\The Strokes\First Impressions Of Earth\04 Razorblade.mp3,2
